SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	nl
Stat	point
Unit	okta
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	07	17	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	18	07	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	18	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	18	21	00	0	6.40	|	orig=8 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	19	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	19	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	19	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	20	07	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	20	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	20	21	00	0	4.80	|	orig=6 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	21	07	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	21	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	21	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	22	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	22	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	22	21	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	23	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	23	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	23	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	24	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	24	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	24	21	00	0	2.40	|	orig=3 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	25	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	25	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	25	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	26	07	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	26	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	26	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	27	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	27	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	27	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	28	07	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	28	14	00	0	3.20	|	orig=4 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	28	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	29	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	29	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	29	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	30	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	30	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	30	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	31	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	31	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	07	31	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	08	01	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	01	14	00	0	4.80	|	orig=6 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	01	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	02	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	02	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	02	21	00	0	6.40	|	orig=8 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	03	07	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	03	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	03	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	04	07	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	04	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	04	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	05	07	00	0	5.60	|	orig=7 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	05	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	05	21	00	0	3.20	|	orig=4 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	06	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	06	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	06	21	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	07	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	07	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	07	21	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	08	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	08	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	08	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	09	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	09	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	09	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	10	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	10	14	00	0	3.20	|	orig=4 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	10	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	11	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	11	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	11	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	12	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	12	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	12	21	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	13	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	13	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	13	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	14	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	14	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	14	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	15	07	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	15	14	00	0	4.80	|	orig=6 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	15	21	00	0	6.40	|	orig=8 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	16	07	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	16	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	16	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	17	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	17	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	17	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	18	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	18	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	18	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	19	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	19	14	00	0	4.80	|	orig=6 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	19	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	20	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	20	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	20	21	00	0	4.80	|	orig=6 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	21	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	21	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	21	21	00	0	3.20	|	orig=4 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	22	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	22	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	22	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	23	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	23	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	23	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	24	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	24	14	00	0	2.40	|	orig=3 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	24	21	00	0	4.80	|	orig=6 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	25	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	25	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	25	21	00	0	3.20	|	orig=4 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	26	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	26	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	26	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	27	07	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	27	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	27	21	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	28	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	28	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	28	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	29	07	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	29	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	29	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	30	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	30	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	30	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	31	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	31	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	31	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	09	01	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	01	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	01	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	02	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	02	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	02	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	03	07	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	03	14	00	0	4.80	|	orig=6 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	03	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	04	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	04	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	04	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	05	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	05	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	05	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	06	07	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	06	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	06	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	07	07	00	0	1.60	|	orig=2 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	07	14	00	0	3.20	|	orig=4 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	07	21	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	08	07	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	08	14	00	0	1.60	|	orig=2 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	08	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	09	07	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	09	14	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	09	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	10	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	10	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	10	21	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	11	07	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	11	14	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	11	21	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	12	07	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	12	14	00	0	6.40	|	orig=8 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	12	21	00	0	4.80	|	orig=6 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	13	07	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1861-09-01_OBS-F.jpg
